egid;eingang_koordinaten
450136;47.555275983398886, 7.569296173318073
450151;47.553991414556776, 7.570019051565683
450152;47.55402263542697, 7.5699279774817425
450154;47.55408781094518, 7.569737917616862
450161;47.553306346694136, 7.572492183458479
450162;47.5534548535727, 7.572058500888352
450163;47.55352672846955, 7.571848733795237
450165;47.5536740502436, 7.57141900369573
450166;47.553701164844085, 7.571341312340254
450173;47.55398656178699, 7.570509826829008
450175;47.55403483668167, 7.57036963926078
450176;47.55408406960998, 7.570225136051274
450177;47.5541205959409, 7.57011899607495
450179;47.554187251404215, 7.569924794684444
450189;47.553425920847644, 7.56936554437875
450194;47.553426141320074, 7.570017901567671
450195;47.553451695152376, 7.56994368675351
450196;47.55348653435848, 7.569842034112516
450200;47.553812111226215, 7.576185674430426
450201;47.5535947327307, 7.574998423505074
450202;47.55354994454893, 7.5747900233028735
450203;47.55352845975259, 7.574665632097588
450204;47.55351175493732, 7.574568301868726
450205;47.553482801026234, 7.574052934431091
450209;47.55333384867088, 7.573266565852059
450211;47.55331204825688, 7.573071271994202
450213;47.553289221049006, 7.572869186996931
450216;47.553133064551695, 7.571492880398915
450219;47.553170827291495, 7.571762822020784
450221;47.55309113009333, 7.5711261865695505
450224;47.55292462791922, 7.569661957553391
450226;47.55289585290844, 7.569409058847031
450227;47.552874629712164, 7.569222577609648
450229;47.556601585124966, 7.575018477817798
450234;47.55632952211765, 7.575235898718605
450235;47.55626094963857, 7.575254895030665
450236;47.55616300380142, 7.57528141572723
450239;47.55535018883805, 7.575547469341972
450245;47.554550747461455, 7.57593516448473
450247;47.55425478842598, 7.576097256770827
450250;47.55537636600037, 7.5751054682297605
450252;47.55502822312143, 7.575109189398608
450253;47.55495781897797, 7.575110192043711
450254;47.55489111165169, 7.575110858700981
450256;47.55467216540704, 7.575113169304185
450258;47.55562712075268, 7.574882017654042
450261;47.555377607833705, 7.574889485875453
450262;47.55525446269856, 7.574891975215407
450264;47.555100559816864, 7.574893748420208
450271;47.55416291600258, 7.575033684432155
450273;47.5539429932144, 7.575117285793492
450277;47.55625205660839, 7.5742438143413
450279;47.55640452747155, 7.574398331504782
450281;47.556569936993895, 7.5745632322480025
450284;47.55679962971868, 7.574792987483332
450292;47.55647859609083, 7.574702555770267
450302;47.55459260603099, 7.5738552281294025
450303;47.55467599261126, 7.5738969031815175
450308;47.555056956280886, 7.573983931449558
450319;47.554276575459305, 7.57370741220935
450322;47.553888138562606, 7.573899094361615
450336;47.55478593632744, 7.573271339218743
450345;47.553995570560176, 7.572744856251377
450350;47.55376697052029, 7.572593680685935
450351;47.553712169581075, 7.5725563312973
450353;47.55361285477977, 7.572490971470132
450354;47.55356547697343, 7.572458556417258
450356;47.55590775344769, 7.573783264480072
450358;47.55570320421325, 7.573647577805201
450362;47.55549340819402, 7.573506936648411
450365;47.5552679652349, 7.573356478914076
450366;47.555166234040634, 7.573289023739384
450369;47.554964192253465, 7.573154356881823
450370;47.554903737599496, 7.573114281589811
450371;47.55484319317701, 7.573074046736645
450372;47.55479244464312, 7.573040120668962
450374;47.55444300989404, 7.5728066933624785
450376;47.554326720021265, 7.572729213123498
450377;47.554267137016296, 7.572689645829221
450378;47.5542091267362, 7.572651092257195
450379;47.55415055924383, 7.572612178667489
450380;47.55409334890307, 7.572574039115755
450381;47.554035078174934, 7.572535126439401
450385;47.55375825564282, 7.572350644362732
450388;47.55359622176269, 7.5722430802490726
450391;47.55439418640808, 7.5722473332095355
450397;47.5538435302792, 7.571843212726375
450398;47.55377837163183, 7.571795077169888
450402;47.55424702799543, 7.571943274203184
450403;47.55418182406624, 7.571895456894326
450405;47.55400235148807, 7.571763763539308
450408;47.557081061928336, 7.574437782580242
450410;47.556936812677684, 7.574390409894949
450416;47.55653344489482, 7.573855275552767
450427;47.55674930676338, 7.573720450230422
450429;47.55649781347037, 7.573550870176782
450430;47.5564254765429, 7.573473389897449
450434;47.5571548834318, 7.573569003549808
450438;47.556832233342035, 7.573226511476116
450439;47.556683992925926, 7.5730677156933925
450446;47.55693966822292, 7.573074191324042
450454;47.55600072513137, 7.5726969562278
450456;47.55584823690263, 7.572579074071059
450457;47.55578545451754, 7.572529573307334
450458;47.555696376641855, 7.57246246959842
450459;47.55558810859195, 7.572377501909605
450462;47.55524502449973, 7.572440321689319
450464;47.555192681472825, 7.572070862971592
450469;47.554616926989596, 7.5716241223173055
450473;47.55438743770784, 7.571447014414491
450474;47.55424253908595, 7.57133682395533
450475;47.55407572857206, 7.57120556230107
450476;47.55401089623088, 7.571154970336499
450478;47.55356688645762, 7.570812199909965
450481;47.55601405482871, 7.572500319184565
450484;47.55581042730174, 7.57232815668152
450485;47.55569870866273, 7.572256187231929
450487;47.55542432832009, 7.57204359437299
450489;47.55526148762832, 7.571917824449001
450494;47.554668641884646, 7.571457557609528
450495;47.55460677594397, 7.571408420258629
450496;47.554539496522224, 7.571358605307831
450504;47.55366385305303, 7.570680649835439
450508;47.55345140853542, 7.570516677170914
450514;47.55573233158239, 7.571701643032751
450523;47.55557413210154, 7.57132239301295
450534;47.55591993410138, 7.570567354127055
450535;47.55580921662283, 7.570579396825066
450537;47.55560113059698, 7.570601495589325
450539;47.55525089367436, 7.570389242875215
450542;47.55506135229689, 7.570124777327043
450545;47.55476876256579, 7.5698980706646335
450546;47.55469969624623, 7.569845144280149
450547;47.554630863483396, 7.569792444460045
450548;47.554549587436924, 7.569728116034283
450549;47.55445224179996, 7.569653771041202
450550;47.554359094490735, 7.569580937857997
450551;47.55694506513055, 7.570122501760352
450553;47.55680663454024, 7.570137666102496
450561;47.55596982226432, 7.570225008127904
450562;47.555865806229804, 7.570236098183646
450570;47.55465830054458, 7.569434480499763
450573;47.55316922601328, 7.5691365850363095
450576;47.553803732808234, 7.569105837207005
